title,text,label
News headline 0,"This is the body of news article number 0. It talks about various topics such as politics, technology, and health.",REAL
News headline 1,"This is the body of news article number 1. It talks about various topics such as politics, technology, and health.",FAKE
News headline 2,"This is the body of news article number 2. It talks about various topics such as politics, technology, and health.",FAKE
News headline 3,"This is the body of news article number 3. It talks about various topics such as politics, technology, and health.",FAKE
News headline 4,"This is the body of news article number 4. It talks about various topics such as politics, technology, and health.",REAL
News headline 5,"This is the body of news article number 5. It talks about various topics such as politics, technology, and health.",REAL
News headline 6,"This is the body of news article number 6. It talks about various topics such as politics, technology, and health.",REAL
News headline 7,"This is the body of news article number 7. It talks about various topics such as politics, technology, and health.",REAL
News headline 8,"This is the body of news article number 8. It talks about various topics such as politics, technology, and health.",REAL
News headline 9,"This is the body of news article number 9. It talks about various topics such as politics, technology, and health.",FAKE
News headline 10,"This is the body of news article number 10. It talks about various topics such as politics, technology, and health.",FAKE
News headline 11,"This is the body of news article number 11. It talks about various topics such as politics, technology, and health.",REAL
News headline 12,"This is the body of news article number 12. It talks about various topics such as politics, technology, and health.",FAKE
News headline 13,"This is the body of news article number 13. It talks about various topics such as politics, technology, and health.",REAL
News headline 14,"This is the body of news article number 14. It talks about various topics such as politics, technology, and health.",FAKE
News headline 15,"This is the body of news article number 15. It talks about various topics such as politics, technology, and health.",FAKE
News headline 16,"This is the body of news article number 16. It talks about various topics such as politics, technology, and health.",REAL
News headline 17,"This is the body of news article number 17. It talks about various topics such as politics, technology, and health.",REAL
News headline 18,"This is the body of news article number 18. It talks about various topics such as politics, technology, and health.",FAKE
News headline 19,"This is the body of news article number 19. It talks about various topics such as politics, technology, and health.",FAKE
News headline 20,"This is the body of news article number 20. It talks about various topics such as politics, technology, and health.",FAKE
News headline 21,"This is the body of news article number 21. It talks about various topics such as politics, technology, and health.",REAL
News headline 22,"This is the body of news article number 22. It talks about various topics such as politics, technology, and health.",REAL
News headline 23,"This is the body of news article number 23. It talks about various topics such as politics, technology, and health.",FAKE
News headline 24,"This is the body of news article number 24. It talks about various topics such as politics, technology, and health.",FAKE
News headline 25,"This is the body of news article number 25. It talks about various topics such as politics, technology, and health.",REAL
News headline 26,"This is the body of news article number 26. It talks about various topics such as politics, technology, and health.",FAKE
News headline 27,"This is the body of news article number 27. It talks about various topics such as politics, technology, and health.",REAL
News headline 28,"This is the body of news article number 28. It talks about various topics such as politics, technology, and health.",REAL
News headline 29,"This is the body of news article number 29. It talks about various topics such as politics, technology, and health.",REAL
News headline 30,"This is the body of news article number 30. It talks about various topics such as politics, technology, and health.",FAKE
News headline 31,"This is the body of news article number 31. It talks about various topics such as politics, technology, and health.",REAL
News headline 32,"This is the body of news article number 32. It talks about various topics such as politics, technology, and health.",FAKE
News headline 33,"This is the body of news article number 33. It talks about various topics such as politics, technology, and health.",FAKE
News headline 34,"This is the body of news article number 34. It talks about various topics such as politics, technology, and health.",REAL
News headline 35,"This is the body of news article number 35. It talks about various topics such as politics, technology, and health.",REAL
News headline 36,"This is the body of news article number 36. It talks about various topics such as politics, technology, and health.",REAL
News headline 37,"This is the body of news article number 37. It talks about various topics such as politics, technology, and health.",FAKE
News headline 38,"This is the body of news article number 38. It talks about various topics such as politics, technology, and health.",REAL
News headline 39,"This is the body of news article number 39. It talks about various topics such as politics, technology, and health.",REAL
News headline 40,"This is the body of news article number 40. It talks about various topics such as politics, technology, and health.",REAL
News headline 41,"This is the body of news article number 41. It talks about various topics such as politics, technology, and health.",FAKE
News headline 42,"This is the body of news article number 42. It talks about various topics such as politics, technology, and health.",FAKE
News headline 43,"This is the body of news article number 43. It talks about various topics such as politics, technology, and health.",REAL
News headline 44,"This is the body of news article number 44. It talks about various topics such as politics, technology, and health.",FAKE
News headline 45,"This is the body of news article number 45. It talks about various topics such as politics, technology, and health.",REAL
News headline 46,"This is the body of news article number 46. It talks about various topics such as politics, technology, and health.",FAKE
News headline 47,"This is the body of news article number 47. It talks about various topics such as politics, technology, and health.",REAL
News headline 48,"This is the body of news article number 48. It talks about various topics such as politics, technology, and health.",FAKE
News headline 49,"This is the body of news article number 49. It talks about various topics such as politics, technology, and health.",FAKE
News headline 50,"This is the body of news article number 50. It talks about various topics such as politics, technology, and health.",REAL
News headline 51,"This is the body of news article number 51. It talks about various topics such as politics, technology, and health.",FAKE
News headline 52,"This is the body of news article number 52. It talks about various topics such as politics, technology, and health.",FAKE
News headline 53,"This is the body of news article number 53. It talks about various topics such as politics, technology, and health.",FAKE
News headline 54,"This is the body of news article number 54. It talks about various topics such as politics, technology, and health.",FAKE
News headline 55,"This is the body of news article number 55. It talks about various topics such as politics, technology, and health.",FAKE
News headline 56,"This is the body of news article number 56. It talks about various topics such as politics, technology, and health.",REAL
News headline 57,"This is the body of news article number 57. It talks about various topics such as politics, technology, and health.",FAKE
News headline 58,"This is the body of news article number 58. It talks about various topics such as politics, technology, and health.",FAKE
News headline 59,"This is the body of news article number 59. It talks about various topics such as politics, technology, and health.",FAKE
News headline 60,"This is the body of news article number 60. It talks about various topics such as politics, technology, and health.",REAL
News headline 61,"This is the body of news article number 61. It talks about various topics such as politics, technology, and health.",REAL
News headline 62,"This is the body of news article number 62. It talks about various topics such as politics, technology, and health.",FAKE
News headline 63,"This is the body of news article number 63. It talks about various topics such as politics, technology, and health.",REAL
News headline 64,"This is the body of news article number 64. It talks about various topics such as politics, technology, and health.",FAKE
News headline 65,"This is the body of news article number 65. It talks about various topics such as politics, technology, and health.",FAKE
News headline 66,"This is the body of news article number 66. It talks about various topics such as politics, technology, and health.",REAL
News headline 67,"This is the body of news article number 67. It talks about various topics such as politics, technology, and health.",FAKE
News headline 68,"This is the body of news article number 68. It talks about various topics such as politics, technology, and health.",REAL
News headline 69,"This is the body of news article number 69. It talks about various topics such as politics, technology, and health.",REAL
News headline 70,"This is the body of news article number 70. It talks about various topics such as politics, technology, and health.",FAKE
News headline 71,"This is the body of news article number 71. It talks about various topics such as politics, technology, and health.",FAKE
News headline 72,"This is the body of news article number 72. It talks about various topics such as politics, technology, and health.",FAKE
News headline 73,"This is the body of news article number 73. It talks about various topics such as politics, technology, and health.",FAKE
News headline 74,"This is the body of news article number 74. It talks about various topics such as politics, technology, and health.",REAL
News headline 75,"This is the body of news article number 75. It talks about various topics such as politics, technology, and health.",FAKE
News headline 76,"This is the body of news article number 76. It talks about various topics such as politics, technology, and health.",REAL
News headline 77,"This is the body of news article number 77. It talks about various topics such as politics, technology, and health.",FAKE
News headline 78,"This is the body of news article number 78. It talks about various topics such as politics, technology, and health.",REAL
News headline 79,"This is the body of news article number 79. It talks about various topics such as politics, technology, and health.",REAL
News headline 80,"This is the body of news article number 80. It talks about various topics such as politics, technology, and health.",FAKE
News headline 81,"This is the body of news article number 81. It talks about various topics such as politics, technology, and health.",FAKE
News headline 82,"This is the body of news article number 82. It talks about various topics such as politics, technology, and health.",FAKE
News headline 83,"This is the body of news article number 83. It talks about various topics such as politics, technology, and health.",REAL
News headline 84,"This is the body of news article number 84. It talks about various topics such as politics, technology, and health.",REAL
News headline 85,"This is the body of news article number 85. It talks about various topics such as politics, technology, and health.",FAKE
News headline 86,"This is the body of news article number 86. It talks about various topics such as politics, technology, and health.",FAKE
News headline 87,"This is the body of news article number 87. It talks about various topics such as politics, technology, and health.",REAL
News headline 88,"This is the body of news article number 88. It talks about various topics such as politics, technology, and health.",FAKE
News headline 89,"This is the body of news article number 89. It talks about various topics such as politics, technology, and health.",REAL
News headline 90,"This is the body of news article number 90. It talks about various topics such as politics, technology, and health.",FAKE
News headline 91,"This is the body of news article number 91. It talks about various topics such as politics, technology, and health.",FAKE
News headline 92,"This is the body of news article number 92. It talks about various topics such as politics, technology, and health.",REAL
News headline 93,"This is the body of news article number 93. It talks about various topics such as politics, technology, and health.",REAL
News headline 94,"This is the body of news article number 94. It talks about various topics such as politics, technology, and health.",REAL
News headline 95,"This is the body of news article number 95. It talks about various topics such as politics, technology, and health.",FAKE
News headline 96,"This is the body of news article number 96. It talks about various topics such as politics, technology, and health.",REAL
News headline 97,"This is the body of news article number 97. It talks about various topics such as politics, technology, and health.",FAKE
News headline 98,"This is the body of news article number 98. It talks about various topics such as politics, technology, and health.",REAL
News headline 99,"This is the body of news article number 99. It talks about various topics such as politics, technology, and health.",REAL
